Academic Standing,Disciplinary Standing,Fnancial Standing,Fee balance (USD) ,ALU Grant Status,Previous Alusive Grant Status,Total Monthly Income,Students in Household,Household Size,Household Supporters,Household Dependants,ALU Grant Amount,Grant Requested,Amount Affordable,Grant Classifier
1,1,0,500,0,0,1000,5,10,1,8,0,1500,500,1
0,0,0,1280,1,0,1000,1,4,2,2,1500,1000,500,0
1,1,0,1500,0,0,1250,3,8,1,4,0,1000,1000,1
1,1,0,1500,0,0,1500,3,10,1,8,0,1500,1000,1
1,1,0,500,1,0,1000,2,2,1,2,2000,1000,500,1
1,1,0,750,1,0,1000,3,8,1,8,1500,1000,500,1
1,1,1,0,1,0,1000,2,4,1,4,1500,1000,1000,0
1,1,1,0,1,0,1000,2,6,2,4,1500,1500,500,0
1,1,0,1500,1,0,1000,5,6,1,4,1500,1000,500,1
1,1,0,1100,0,0,2250,1,4,1,2,0,500,1000,1
1,1,1,2000,0,0,1500,2,6,1,6,0,1000,1000,0
1,1,0,666.6,1,0,1000,2,4,1,2,2000,1000,500,1
1,1,1,0,1,0,1000,1,8,3,6,2000,1000,1000,0
1,1,0,1000,1,0,1500,5,10,3,8,1500,1000,1000,1
1,1,1,1000,1,0,1000,1,6,1,4,1500,1000,500,0
1,1,1,0,1,0,3000,3,6,2,6,1000,1000,1000,0
1,1,0,666,1,0,1000,5,6,1,6,1000,1500,500,1
0,1,0,1000,1,0,1000,1,8,1,2,1000,1000,1000,0
1,1,0,750,1,0,1000,5,10,2,8,1500,1500,500,1
1,1,1,500,1,0,1000,1,6,1,4,1500,1000,1000,0
1,1,0,3000,0,1,1500,5,8,1,8,0,1000,2000,1
1,1,0,750,1,0,1000,3,6,2,4,1500,1000,1000,1
1,1,0,1000,1,0,1000,3,10,1,10,1000,1000,500,1
1,1,1,2000,1,0,2250,5,8,2,6,1000,1500,500,0
1,1,0,1500,0,0,1250,1,10,2,10,0,1000,1000,1
1,1,0,1000,1,0,1000,5,8,1,2,1500,1000,500,1
1,1,0,140,1,0,5000,2,6,2,4,1000,500,1000,0
1,1,0,0,1,0,1000,5,8,1,8,1000,1000,1000,0
1,1,0,500,1,0,1000,2,6,1,4,2000,1000,500,1
1,1,1,1000,1,0,1000,1,8,1,8,2000,1000,500,0
1,1,0,1000,1,0,1000,5,10,1,10,2000,1000,500,1
1,1,0,0,1,0,1250,5,10,1,2,1500,1500,2000,0
1,1,0,3000,1,0,1000,5,8,1,4,1000,1500,2000,1
1,1,0,2000,0,0,2000,2,6,2,4,0,1500,1000,1
1,1,0,180,1,0,1000,2,8,1,6,2000,1000,500,0
1,1,1,1000,1,0,2000,3,6,2,6,1500,1500,500,0
1,1,0,0,1,0,1000,1,6,1,6,1000,1500,500,0
1,1,1,0,1,0,1000,5,8,1,2,1000,1000,500,0
1,1,0,500,1,0,1000,3,4,2,4,2000,500,500,1
1,1,1,30,1,0,1000,3,8,1,6,1500,1000,1000,0
1,1,0,750,1,0,1000,1,8,1,8,1500,1000,1000,1
1,1,0,0,1,0,1250,3,6,2,4,1000,1000,1000,0
1,1,0,582,1,0,1000,5,10,1,8,1500,1000,500,1
1,1,1,0,1,0,1500,2,8,1,8,1000,1500,500,0
1,1,0,2000,1,0,1000,3,8,1,8,1000,1500,500,1
1,1,1,1500,1,0,1000,3,10,1,10,1500,1500,500,0
1,1,0,500,1,0,1000,3,8,1,4,2000,1000,500,1
1,1,0,1500,1,0,1000,1,8,1,6,1500,1000,500,1
1,1,1,3000,0,0,1250,2,8,1,6,0,1000,1000,0
1,1,0,1325,1,1,1000,1,4,2,4,2000,1000,500,1
1,1,0,1000,1,0,1000,1,8,1,6,2000,1000,500,1
1,1,1,1500,1,0,1000,5,8,1,8,1500,1000,500,0
1,1,0,1200,1,1,1250,3,8,2,8,1000,1000,500,1
1,1,0,1500,1,0,1000,3,6,2,4,1500,1000,500,1
1,1,0,750,1,0,1000,1,4,1,4,1500,1000,1000,1
1,1,0,517.29,1,0,1000,2,6,1,8,1500,1000,500,1
1,1,0,2000,1,0,1000,5,8,2,6,2000,1500,2000,1
1,1,0,2000,1,0,1000,1,2,1,4,1000,1500,500,1
1,1,1,650,1,0,1250,2,4,2,2,1500,1000,500,0
1,1,0,860,1,0,1250,3,6,2,4,1500,500,500,1
1,1,1,3000,0,1,1500,5,10,2,8,0,1500,1000,0
1,1,0,1000,1,0,1000,2,6,1,6,2000,1000,500,1
1,1,0,3000,0,0,1000,1,4,1,4,0,1500,500,1
1,1,1,2000,0,0,1500,1,8,1,6,0,1000,1000,0
1,1,0,500,1,0,1000,3,4,1,4,2000,1000,500,1
1,1,1,17,1,0,1000,1,4,1,4,1500,1000,500,0
1,1,1,0,1,0,1500,2,8,1,8,2000,1000,1000,0
1,1,1,1000,1,0,1250,3,8,2,6,1500,1500,500,0
1,1,0,3000,0,0,1500,3,8,3,6,0,1500,500,1
1,1,1,1000,1,0,1000,2,8,1,6,2000,1000,500,0
1,1,1,0,1,0,1000,3,8,1,6,1500,1000,500,0
1,1,1,1093,0,0,4500,1,6,1,4,0,1000,500,0
1,1,0,780,1,0,1000,5,8,1,8,1500,1000,500,1
1,1,0,1000,1,0,1000,5,10,1,10,2000,1000,500,1
1,1,1,2000,1,0,1250,2,10,2,6,1000,1500,2000,0
1,1,0,750,1,0,1000,2,6,1,2,1500,500,500,1
1,1,0,1500,1,0,1000,5,10,4,10,1500,1000,500,1
1,1,0,1500,0,0,1250,5,8,2,6,0,1500,500,1
1,1,1,0,1,0,1000,2,6,1,4,1500,500,500,0
1,1,0,500,1,0,1000,2,10,2,8,2000,1000,500,1
1,1,0,750,1,0,1000,2,6,1,2,1500,500,500,1
1,1,1,0,1,0,1500,3,10,1,8,2000,1000,500,0
1,1,0,136,1,0,1250,5,6,2,4,1500,500,1000,0
1,1,0,1500,1,0,1000,1,8,1,8,2000,500,500,1
1,1,0,1000,1,0,1000,5,8,1,8,2000,1000,500,1
1,1,0,750,1,0,1000,5,8,1,8,1500,1000,500,1
1,1,1,0,1,1,1500,3,8,2,6,1500,1500,1000,0
1,1,1,0,1,0,1000,3,6,1,4,1500,1000,500,0
1,1,1,1500,1,0,1000,5,8,1,8,1500,1000,500,0
1,1,0,1000,1,0,1000,2,10,2,8,2000,1000,1000,1
1,1,0,2000,1,0,1250,1,4,1,4,1000,1500,1000,1
1,1,0,1500,0,0,1000,5,8,1,8,0,1500,1000,1
1,1,0,1000,1,0,1000,2,6,1,6,2000,1000,500,1
1,1,0,33,1,0,1000,3,8,1,6,2000,1000,500,0
1,1,0,2500,1,0,1000,1,8,1,8,2000,1500,500,1
1,1,1,100,1,0,1000,2,6,1,6,1000,500,500,0
1,1,1,0,1,0,1250,1,6,1,6,1500,1000,1000,0
1,1,0,725,1,0,1000,1,10,1,10,1500,1000,500,1
1,1,0,2500,1,1,1000,1,6,2,4,2000,1500,500,1
1,1,1,500,1,0,1000,3,8,1,8,1500,1000,500,0
1,1,1,500,1,0,1000,1,8,1,10,1000,1000,500,0
1,1,0,3000,1,0,1000,2,6,1,6,1500,1000,500,1
1,1,0,1300,1,0,1250,3,6,1,6,1000,1000,1000,1
1,1,0,3000,0,0,1250,5,8,2,6,0,1500,500,1
1,1,0,1000,1,0,1000,1,6,1,6,2000,1000,500,1
1,1,1,668,1,0,1000,1,4,2,2,2000,1000,1000,0
1,1,0,1500,1,0,1000,5,8,1,8,1500,1500,500,1
1,1,0,2500,1,0,1250,5,10,2,8,2000,1500,500,1
1,1,0,140,1,1,2250,5,10,2,8,1000,1000,1000,0
1,1,0,1334,1,0,1500,5,8,1,6,1000,1500,500,1
1,1,0,140,1,0,1000,5,10,1,8,2000,1500,500,0
1,1,0,1500,1,0,1000,5,8,3,6,2000,1000,500,1
1,1,0,1500,0,0,1000,2,8,1,6,0,1000,500,1
1,1,0,1500,0,0,1250,3,10,1,10,0,1500,500,1
1,1,0,750,1,1,1000,5,8,1,2,1500,1000,1000,1
1,1,0,1000,1,0,1000,1,6,1,4,1500,1500,500,1
1,1,0,1000,1,0,1000,2,6,1,4,2000,1000,500,1
1,1,0,1500,1,0,1000,5,8,1,8,1500,1000,500,1
1,1,0,1500,0,0,1500,5,8,1,6,0,1500,500,1
1,1,1,0,1,0,1000,3,6,1,2,1500,1500,500,0
1,1,0,1334,1,0,1500,2,8,2,2,1000,1000,1000,1
1,1,0,1000,1,0,1000,3,8,2,6,1500,1000,500,1
1,1,0,500,1,0,1000,2,10,2,10,2000,1000,500,1
1,1,0,0,1,0,1000,3,8,2,6,1500,1000,500,0
1,1,0,1743.87,1,0,1000,5,8,1,6,1000,1000,1000,1
1,1,0,1140,1,0,1000,1,6,2,4,2000,1000,500,1
1,1,1,1000,1,0,1500,3,10,2,6,2000,1000,500,0
1,1,1,0,1,0,1000,5,10,1,8,1000,500,500,0
1,1,1,663,1,0,1000,2,8,1,2,2000,500,500,0
1,1,0,500,1,1,1000,5,8,1,8,1500,500,500,1
1,1,0,0,1,0,1000,1,4,1,2,1500,1500,500,0
1,1,0,2000,1,0,1000,1,2,1,2,2000,1500,500,1
1,1,0,0,1,0,1000,1,8,1,8,1500,1000,1000,0
1,1,0,500,1,0,1000,5,6,1,4,1500,1000,500,1
1,1,1,3000,1,0,1000,3,8,2,6,2000,1000,1000,0
1,1,1,502.5,1,1,1000,1,10,2,8,1500,1000,500,0
1,1,1,0,1,1,1000,1,10,1,10,1000,1000,500,0
1,1,0,666.6,1,0,1000,5,8,1,8,2000,1000,500,1
1,1,1,0,1,0,1000,2,6,1,6,2000,1000,1000,0
0,1,0,1000,0,0,1000,1,10,1,8,2000,500,500,0
1,1,0,750,1,0,1250,5,10,3,6,1500,1000,1000,1
1,1,1,0,1,0,1250,3,4,2,2,2000,1000,1000,0
1,1,0,1500,1,0,1250,1,4,3,4,1500,1000,500,1
1,1,0,750,1,0,1000,1,8,1,6,2000,500,500,1
1,1,0,3000,1,0,1000,5,6,1,6,1500,1000,500,1
1,1,1,222.35,1,0,1000,1,6,1,4,2000,1000,1000,0
1,1,0,1035,1,1,1000,2,6,2,2,2000,1000,500,1
0,1,0,1500,1,0,1500,5,10,2,2,1500,1000,500,0
1,1,0,500,1,0,1000,5,8,1,6,2000,1000,500,1
1,1,0,450,1,0,1500,3,10,2,2,2000,1000,500,1
1,1,1,0,1,0,1000,2,6,1,6,1500,1000,500,0
1,1,1,3000,1,0,1000,3,10,1,2,1500,1000,500,0
1,1,0,1500,1,0,2250,5,8,2,6,1500,1500,1000,1
1,1,0,1000,1,0,1000,1,8,2,6,1000,500,500,1
1,1,0,750,1,0,1000,3,4,1,4,1500,1000,1000,1
1,1,0,1500,1,0,3000,3,10,1,8,1000,1500,500,1
1,1,1,0,1,0,1000,2,6,1,4,1000,1000,500,0
1,1,1,1500,1,0,1250,2,10,1,10,1500,1500,500,0
1,1,0,1000,1,0,2250,5,10,1,10,1000,1000,1000,1
1,1,1,750,1,0,1000,5,10,1,10,1500,1000,500,0
1,1,0,750,1,0,1500,1,10,1,2,1500,1500,2000,1
1,1,0,1000,1,0,1000,1,4,1,4,2000,1000,500,1
1,1,0,1000,1,0,1000,1,4,1,2,1500,1000,500,1
1,1,0,2000,0,1,1500,5,8,1,6,0,1500,1000,1
1,1,0,1000,1,0,1000,3,8,2,4,1500,1000,500,1
1,1,0,500,1,0,1000,1,6,1,6,1500,1000,500,1
1,1,0,500,1,0,1000,2,4,1,2,2000,1000,500,1
1,1,0,0,1,0,1250,3,10,1,8,1500,1000,500,0
1,1,0,806.8,1,0,1000,5,6,1,6,1000,1000,1000,1
1,1,0,333.3,1,0,1000,5,8,1,6,1500,1000,1000,1
1,1,0,1000,1,0,1000,3,8,1,8,2000,1000,500,1
1,1,0,1000,1,0,1000,5,10,2,8,1500,1000,500,1
1,1,0,600,1,1,1000,1,10,1,2,2000,500,500,1
1,1,0,1000,1,0,1000,5,6,2,4,2000,1000,1000,1
1,1,0,1500,1,0,1000,3,10,2,8,1500,1000,500,1
1,1,1,1000,1,0,2000,3,6,1,6,1000,1500,500,0
1,1,0,1500,1,0,1000,1,4,1,4,1500,1000,500,1
1,1,0,500,1,0,1000,3,6,1,6,2000,1000,500,1
1,1,0,440,1,1,1500,3,6,1,6,2000,1000,500,1
1,1,0,666,1,0,2000,1,4,2,4,1000,1000,1000,1
1,1,1,1500,0,0,1000,1,6,2,4,0,1000,1000,0
1,1,1,0,0,0,1250,2,8,1,8,0,1000,1000,0
1,1,0,1800,1,1,1250,3,8,2,4,1000,1500,1000,1
1,1,0,750,1,0,1000,1,8,1,10,1500,1000,500,1
1,1,1,1000,0,0,2000,5,10,2,6,0,1000,1000,0
1,1,0,3000,0,1,1000,1,6,1,6,0,1500,500,1
1,1,0,500,1,0,1250,2,6,2,4,1500,1000,500,1
1,1,1,1000,1,0,2000,3,6,1,6,1000,1500,1000,0
1,1,1,1500,1,0,1500,2,8,2,6,1500,1000,1000,0
1,1,0,1500,1,0,1000,1,4,1,4,2000,1000,500,1
1,1,0,3000,1,1,1000,2,8,1,8,1000,1500,500,1
1,1,0,500,1,0,1000,1,6,1,4,2000,1000,1000,1
1,1,0,1500,1,0,1000,5,8,1,8,1500,1000,500,1
1,1,0,750,1,0,1000,3,8,1,8,1500,1000,500,1
1,1,0,2800,1,1,1000,5,8,2,6,1000,1000,500,1
1,1,0,1500,0,0,1000,5,10,1,10,0,1500,500,1
1,1,0,3000,0,0,1000,3,8,2,6,0,1500,500,1
1,1,0,500,1,0,1500,1,8,2,4,1500,1000,1000,1
1,1,0,1500,0,0,1250,2,8,3,6,0,1000,500,1
1,1,0,1500,1,0,1000,2,8,2,8,1500,1000,500,1
1,1,0,500,1,0,1000,2,8,1,8,2000,1000,500,1
1,1,0,1333,1,0,1250,1,8,2,8,1000,1500,500,1
1,1,0,750,1,0,1000,1,4,1,4,1500,1000,1000,1
1,1,1,1500,1,0,1000,2,6,1,4,1500,1000,500,0
1,1,0,1500,1,0,1000,5,10,2,8,1500,1000,500,1
1,1,0,554.64,1,0,2000,2,6,1,4,1000,1500,500,1
1,1,0,1685,1,0,1000,5,10,1,10,1000,1500,500,1
1,1,0,3000,0,0,1500,2,8,2,4,0,1000,1000,1
1,1,0,1000,1,0,1000,2,4,1,4,1000,1000,500,1
1,1,0,840,1,0,1000,1,2,2,2,2000,1000,500,1
1,1,0,2000,1,0,1000,5,8,1,8,1000,1500,500,1
1,1,0,1000,1,0,1250,5,10,1,8,1500,1000,1000,1
1,1,1,622.3,1,1,3000,5,10,1,10,1500,1000,1000,0
1,1,0,1000,1,0,1250,2,8,2,6,2000,1000,500,1
1,1,1,1500,1,0,1500,5,10,1,10,1500,1500,500,0
1,1,1,0,1,0,3000,5,8,1,8,1000,1500,1000,0
1,1,0,1500,1,0,1000,1,10,1,4,1500,1000,500,1
1,1,0,750,1,0,1000,1,10,1,6,1500,1000,500,1